"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Brandywine Productions",7,6.80443441466855,119524696,56.6257372857143
"Blue Sky Studios",9,6.52998941681056,419701161.222222,56.5047456666667
"Skylark Productions",2,6.5,424716949,56.3804165
"Gordon Company",3,7.01819777647747,124005756.666667,56.1694633333333
"Grive Productions",5,6.57441108545035,166507149.2,56.1559172
"Anarchos Productions",5,6.64985337243402,21877947.2,56.003698
"Free State Pictures",3,6.44371531966224,73149018.6666667,55.868833
"Nimar Studios",4,6.76557641259006,219160456.75,55.60012975
"Kontsept Film Company",4,6.42385105084155,274128417,55.40432725
"Groucho II Film Partnership",2,7.89600134408602,193258691.5,55.34013
"Perfect World Pictures",2,5.80408710217755,61680342,55.3235775
"Sketch Films",2,6.14340425531915,73233086,55.1643375
"Bold Films",9,7.37200510341123,21583564.7777778,55.055866
"Translux",2,7.08261964735516,66554891.5,54.919835
"Monarchy Enterprises S.a.r.l.",2,7.26957055214724,187411587,54.808364
"Peregrine",2,8.05260441107461,17008687,54.121662
"K/O Paper Products",4,6.92043510753135,100300997.75,53.8741775
"Hypnotic",3,6.95869379797734,168255209,53.6362493333333
"Imaginary Forces",3,6.18836712913554,83699642.6666667,53.548378
"Platinum Dunes",13,6.05264333581534,241333461.538462,53.476866
"TIK Films",3,6.16743308167467,104173037,53.468325
"Point Grey Pictures",5,6.00006319971109,101610498.4,53.055647
"Walt Disney Feature Animation",9,7.30322812520421,201172620.555556,53.0555832222222
"Appian Way",9,7.36895882049859,129059097.888889,52.7268495555556
"Tequila Gang",2,7.37817859254879,38125697,52.6858025
"Volcano Films",2,5.61910569105691,64015914,52.449744
"Hasbro",3,5.48503027742571,154456926.666667,52.3688046666667
"Animal Kingdom",2,6.60875675675676,6337038,52.1723585
"Brownstone Productions",2,7.06833054693098,178428310,52.12169
"Energy Entertainment",2,6.37708779443255,7480822,51.938414
"1492 Pictures",17,6.88056258164939,212940485.411765,51.6661778235294
"Peninsula Films",3,6.67743935801569,176880458,51.451719
"Twentieth Century Fox Animation",11,6.50391233101188,361413826.454545,51.0092305454545
"Film 44",2,6.29653846153846,101660543,51.006383
"Hollywood Gang Productions",3,6.7005339932274,188063490,50.716343
"Sunswept Entertainment",12,6.33717092113529,250813655.833333,50.6268855
"Lucasfilm",15,7.33324573536192,387353980,50.5921842666667
"Zanuck Company, The",4,6.05487517663683,298359833.25,50.1535215
"Hawk Films",3,8.03930575035063,13885882,50.0800356666667
"Hasbro Studios",5,6.07238749570594,630949874.4,49.8165438
"BillBlock Media",2,5.98261851015801,123254551,49.6590385
"Stanley Kubrick Productions",3,7.39104092813406,97072586.6666667,49.36887
"Ludlum Entertainment",2,7.25055137405916,293162177.5,49.297716
"DreamWorks Animation",31,6.6994071791153,293064898.741935,49.2671718064516
"Albert S. Ruddy Productions",2,7.29218436873747,84636082,49.1800055
"Eidos Interactive",2,5.6214404432133,110604364,49.1548435
"Media Rights Capital",12,6.28469164413545,106444918.083333,49.0542239166667
"The Coppola Company",3,8.11378284581061,58861947,48.6431143333333
"Warner Bros. Pictures",7,7.1656304457811,297917193.142857,48.603545
"U-Drive Productions",4,7.58749256395003,232699547.75,48.59706
"Ram Bergman Productions",3,6.39930285561067,5188408.66666667,48.590583
"Shady Acres Entertainment",3,6.09606136936112,131631745,48.5647023333333
"Overbrook Entertainment",10,6.62450667167826,201736906.9,48.4592466
"Estudios Picasso",2,7.56067053513862,31790090,48.409526
"Stillking Films",9,6.79088789463734,109483778.333333,48.3154473333333
"Tim Burton Productions",12,6.4792656587473,156326540,47.9151440833333
"Cott Productions",2,5.97137052087181,72410379,47.8474835
"Double Negative",2,6.7875270679948,173866269,47.822557
"Act III Communications",2,7.70119680851064,29572614,47.8214455
"WideAwake",2,6.4,92001099,47.793294
"Apparatus Productions",2,6.68532329798153,152196452,47.5518955
"Amblin Entertainment",49,6.84994758334249,256878268.306122,47.5197258367347
"See-Saw Films",2,7.45525227460711,205202612,47.371001
"Bazmark Films",4,7.10546448087432,106276654,47.22611275
"Junction Entertainment",2,6.14028268551237,156367818,47.2150355
"Knightsbridge Entertainment",2,6.9067868504772,57020747.5,46.9976535
"Mediastream Vierte Film GmbH & Co. Vermarktungs KG",3,6.57715410107705,119652408.666667,46.794928
"Mark Gordon Productions",3,7.25854554668694,310461152.666667,46.7303563333333
"Studio Babelsberg",26,6.87759099107432,111767663.961538,46.6462170769231
"WV Films II",3,7.04727606951872,144436273,46.6010923333333
"Figment Films",3,7.13026548672566,55262131,46.545087
"Smart Entertainment",2,5.58416068866571,98724221.5,46.448124
"DMG Entertainment",3,6.28259807073955,16266656.3333333,46.2921016666667
"Filmgate Films",2,6.13533512064343,52088945,46.2299625
"Key Creatives",2,7.13235889363616,104672598.5,46.1969585
"SLM Production Group",3,7.38031959629941,107938818.333333,46.0384493333333
"Mostow/Lieberman Productions",2,5.85225577264654,98589447.5,46.024482
"Inferno Distribution",2,7.10457702020202,42039860,45.88498
"Outlaw Sinema",2,5.74601366742597,62790531.5,45.8359835
"Trigger Street Productions",3,5.43006993006993,176645332.333333,45.7428813333333
"Parkes/MacDonald Productions",7,6.7779129241517,170918861.428571,45.6380257142857
"Union Générale Cinématographique (UGC)",2,7.7627656559932,94825587.5,45.5419915
"American Empirical Pictures",4,7.76016969995081,47035727.5,45.49957375
"Atmosphere Entertainment MM",6,6.49391051098756,134333543,45.4008271666667
"MFPV Film",2,6.56061855670103,195987409,45.1657085
"Kennedy/Marshall Company, The",12,6.61270092946966,140349605.416667,45.0649424166667
"Katalyst Films",3,6.61962527023781,76333753.6666667,45.000314
"Blue Tulip Productions",3,6.74902046147148,82080212.3333333,44.617481
"Cinema 84",2,7.3,41104100,44.598211
"Mitsubishi",2,7.97778539595475,178256137,44.568372
"Pacific Data Images (PDI)",8,6.58996172366959,323108222.875,44.466926
"Fipex Holding",2,6.00527210884354,49690620,44.4583255
"Infinitum Nihil",4,6.19796605939606,-2143727.25,44.43065725
"Lawrence Gordon Productions",9,6.54716642507075,57549706.7777778,44.209814
"Marvel Enterprises",16,6.29731003382187,254322792.5,44.185028375
"Riche-Ludwig Productions",2,6.91557469112692,37679027.5,44.1778605
"Madhouse Entertainment",3,7.28219342452604,53397679.3333333,44.145036
"Walt Disney Pictures",112,6.88690620733727,170677464.714286,43.7039724910714
"Atlas Entertainment",13,6.00056423787295,174571608.307692,43.534942
"Province of British Columbia Production Services Tax Credit",6,7.3601716124419,83468056.6666667,43.512458
"Cloud Eight Films",4,6.92174059139785,18296067.5,43.49025025
"Taurus Film",5,8.04192789968652,48576503.2,43.3269116
"Scott Free Productions",28,6.87218928966141,74214303.7142857,43.1242225714286
"Tree Line Films",3,6.53515783376774,106128511.333333,43.096013
"M6",6,6.60665713945457,76575444.3333333,43.0544426666667
"Danjaq",8,6.48676303209652,179504623.125,43.033143375
"Bay Films",2,6.31189620758483,56952100,42.9883975
"Why Not Productions",5,6.22142857142857,67483578.2,42.9609998
"Plan B Entertainment",13,7.195043162199,107704407.076923,42.9145493076923
"Cross Creek Pictures",10,6.84845743603591,74356431.9,42.7791477
"Element Pictures",2,7.94544582933845,21481016,42.7622405
"Mystery Clock Cinema",3,5.98638262322473,38775847.3333333,42.758391
"Indochina Productions",2,6.45541826269616,578174951,42.526406
"Angry Films",2,6.32978944632181,145266856,42.3158605
"Summit Entertainment",51,6.5767828832893,90305011.5490196,42.2229911568627
"Bluegrass Films",7,6.04708664586897,77803655.2857143,42.1661887142857
"Zanuck/Brown Productions",2,7.09729172799529,264559332,42.1111905
"GK Films",10,6.53428744863653,109668614.5,42.0920964
"Barry Mendel Productions",5,7.31541160593792,173557164.6,41.9151326
"Hughes Entertainment",2,6.70158037013932,399838178,41.837306
"Wintergreen Productions",7,6.49867104315107,124228723.142857,41.8193118571429
"Lin Pictures",5,6.86185399532947,136144583.8,41.6721178
"Evolution Entertainment",4,6.72494117647059,117939586.75,41.60856575
"Michael De Luca Productions",9,5.52978557166421,101257071.888889,41.567586
"Disruption Entertainment",2,5.64685565330727,237615752.5,41.534013
