"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Terry Crews",22,6.3,2611555,5.937602
"Stephen Baldwin",4,7.1,0,5.930533
"Derek Deadman",4,5,0,5.904126
"Marion Cotillard",14,6.9,25966555,5.897391
"Daryl Mitchell",8,4.9,12793283,5.894163
"Aurore Clément",4,5.3,0,5.842299
"Oded Fehr",9,5.5,-8891180,5.833687
"Ebonie Smith",3,5.8,-3.5e+07,5.784661
"Rebecca Hall",12,5.9,0,5.778724
"Nia Long",18,6.7,-2282885,5.700333
"Anupam Kher",7,6,0,5.69872
"André Morell",3,6.2,-20101588,5.671691
"Ken Jenkins",5,3.2,0,5.628399
"Wil Wheaton",5,6.8,-3548372,5.588652
"Sven-Ole Thorsen",14,5.7,-15565854,5.566203
"Leslie Phillips",6,6.6,2.5e+07,5.529035
"Sebastian Koch",6,6.3,-9894745,5.525544
"Joel Shock",3,7.7,0,5.498834
"Michael Showalter",4,5.9,-13633773,5.494047
"Mekhi Phifer",11,6.8,3250000,5.327714
"Lauren Graham",10,7.3,37823676,5.159407
"Ulrich Tukur",3,6.4,-2325876,5.133744
"Gordon Pinsent",4,5.8,11482931,5.102258
"Cherry Jones",9,6.2,-3500000,5.038953
"David Hedison",3,6.6,0,4.952983
"Michael Lombard",4,6.4,15754284,4.928777
"Stephen Mangan",3,7.6,-1347502,4.793348
"Joerg Stadler",3,5.8,0,4.665026
"Bernard Fox",3,6.6,0,4.647547
"Jake Lloyd",3,6.5,-4698351,4.628525
"Colm Feore",17,6.7,-531428,4.541908
"Daniel Bernhardt",3,6.3,-797116,4.52363
"John Castle",2,6,-19111857,4.436792
"David Morrissey",8,4.4,-2e+06,4.346271
"Goldie Hawn",7,5.9,76820,4.337685
"Richard Lawson",3,5.6,10342161,4.207456
"Wilford Brimley",5,5.8,16017403,4.146752
"Johnny Knoxville",17,4.8,12510851,4.134327
"Nick Frost",12,6.8,-1.1e+07,4.131918
"Natasha Lyonne",13,5.8,-30517805,4.131546
"Lenny McLean",2,6.9,-4e+06,4.117968
"Julian Casey",2,6.6,0,4.105363
"Alicia Borrachero",2,5.1,-11027492,4.100942
"Leon Ames",2,6,2945242,4.056774
"Andy Beckwith",6,6.4,4291965,4.052219
"Craig Ferguson",7,5,-19221647,4.020194
"Maurice Sonnenberg",4,5.7,1109095,3.937939
"Dominic West",16,5.9,0,3.905877
"Derrick O'Connor",4,7.1,-30206504,3.87823
"Sinead Matthews",5,6.3,249359555,3.857526
"Steven Weber",2,7,-4500000,3.819796
"Famke Janssen",22,3.4,-16728334,3.809131
"Devin Ratray",7,7,-15649317,3.75074
"John Mahoney",8,7.4,22385320,3.721858
"Mary B. McCann",2,5.4,3102550,3.71305
"Mary Black",5,6.8,3.8e+07,3.698276
"David Margulies",6,5.2,-2600000,3.687574
"Paul Simon",2,6.5,24400000,3.667372
"Nick Cannon",7,6.7,0,3.659292
"Theo Rossi",2,5.6,-8e+06,3.653305
"Alison Lohman",9,6.9,13515786,3.650857
"Denis Arndt",5,5.9,-2.4e+07,3.572339
"Stephen Dorff",15,5.7,-4600000,3.531877
"Michael York",8,6.7,0,3.528643
"Stephen Dillane",7,6.2,0,3.500741
"Anthony Perkins",3,6.4,0,3.433625
"Fiona Shaw",7,5.8,0,3.408955
"Sophie Rois",2,5.4,0,3.347885
"Phyllis Lyons",2,4.5,0,3.312385
"Elton John",4,5.2,-12946185,3.296933
"David Kelly",5,7.2,0,3.291609
"Mike Judge",8,5.7,0,3.199784
"Eugene Byrd",3,6.7,-2700000,3.120747
"David Early",2,5,-29040525,2.911819
"Dwight Yoakam",10,4.8,-2.5e+07,2.909346
"Bill Cobbs",17,4.3,-14313571,2.848727
"Gerald R. Molen",3,6.3,0,2.832628
"Don Amendolia",2,6.3,0,2.77754
"Mark Moses",11,6.2,0,2.714043
"Nicole Vicius",3,6.4,-1e+07,2.574014
"Kathleen Robertson",4,4.5,-5753859,2.550045
"Richard Armitage",6,5.7,16500000,2.537032
"Maggie Roswell",2,7,0,2.526356
"Bo Hopkins",3,6.3,0,2.397987
"Hope Davis",18,7.1,-1.3e+07,2.388918
"Joseph Sikora",5,5.8,5310554,2.366251
"Michael Simkins",2,4.1,-19437854,2.353441
"Erik von Detten",3,7.2,-568377,2.283796
"Tom Everett Scott",9,6.4,0,2.24888
"Rishi Kapoor",2,5.8,240228084,2.143764
"Beverly Todd",2,6.4,0,2.058834
"James Gammon",10,6,0,1.998557
"Bill Hickman",2,4.8,506446,1.95686
"Daniel Wyllie",3,6.1,1842000,1.933366
"Jason Stuart",2,6.5,0,1.906807
"Pedro Lovell",2,5.4,0,1.88484
"Aldis Hodge",4,6.8,5355847,1.86221
"Nicholas Campbell",6,7.1,0,1.807571
"Jake Cherry",5,5.5,-19654944,1.767479
"George Sharperson",2,2.9,0,1.737032
"Evan Rachel Wood",11,5.4,0,1.734764
"Tiffani Thiessen",4,5.9,-1e+06,1.600797
"Peter McRobbie",10,4.9,0,1.569449
"Keenen Ivory Wayans",4,5.4,0,1.496454
"Christopher Karl Hemeyer",2,6.7,0,1.464566
"Reece Thompson",2,5.9,-1,1.452152
"Keili Lefkovitz",2,5.8,0,1.292948
"Missy Yager",2,6.2,0,1.286991
"Hank Mann",2,6.6,-992798,1.260314
"Joey Ansah",7,6.8,-2e+06,1.20173
"Jenny Wade",4,7,0,0.619136
"Melissa McBride",3,2.7,0,0.587276
"William Dick",2,7.4,79000,0.212443
"Frank Stallone",3,6.2,0,0.139384
