"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Chaim Topol",3,7,-18567273,37.054554
"Corey Feldman",9,7.7,83473333,36.444894
"Sal Mineo",3,6,257553595,36.432598
"Hiam Abbass",2,7.6,2323044,35.674774
"Bruno Ganz",7,5.5,125735876,35.601665
"Sarah Peirse",3,5.9,14560577,35.542809
"James Woods",24,7,-15288207,35.53352
"Holmes Osborne",11,7.7,5e+06,35.524457
"Maz Jobrani",3,7.2,3612356,35.481169
"Jonathan Banks",11,7.4,55737889,35.227212
"Mark Famiglietti",3,6.1,21700105,35.099611
"Joshua Peace",2,7.8,7744471,35.061467
"Bryan Singer",3,6.1,200601895,34.86859
"Iben Hjejle",4,6.5,49238440,34.759855
"Amy Adams",24,6.1,182385533,34.391792
"Dorian Harewood",2,5.9,65464664,34.070054
"Bruno Kirby",8,5.8,36643346,34.052253
"Blanchard Ryan",4,6.8,135926552,34.035114
"Rebecca Ferratti",2,6.2,-8517793,33.98637
"Anne Hathaway",25,7.2,95944660,33.8473
"Ashraf Barhom",5,7.3,-1.1e+07,33.758281
"Billy Bob Thornton",25,6.6,230854823,33.648404
"Elizabeth McGovern",7,6.2,45505973,33.394082
"Peter Spellos",4,6.6,99600000,33.142185
"M. Emmet Walsh",18,6.3,47607453,32.927994
"Jason Sudeikis",16,5.7,132361754,32.835777
"Roshan Seth",7,6.1,436642939,32.829538
"Ian Holm",22,6.8,1.74e+08,32.798571
"I.M. Hobson",2,5.3,133262620,32.549282
"Allison Janney",29,8,-91969578,32.351527
"Lois Smith",7,6.2,10664721,32.31022
"Frank Marshall",2,6.1,402471524,32.079995
"Marilyn Manson",3,6.1,168387299,32.05145
"Taylor Nichols",2,6.5,126720069,31.941347
"Joanne Woodward",2,6.8,55020213,31.884559
"Patricia Neal",2,6.8,264317794,31.792964
"Radha Mitchell",14,7.1,28948000,31.691617
"Nikolaj Lie Kaas",2,7.6,5117339,31.60985
"Burgess Meredith",3,6.4,86793,31.586215
"Jenette Goldstein",6,6.1,304111707,31.39165
"Saskia Reeves",2,7.7,0,31.339015
"Brad Dourif",13,5.7,126015611,31.294717
"Anthony Higgins",2,6.5,135695658,31.036
"Omar Benson Miller",8,7.5,11451803,30.993736
"Keira Knightley",19,7.3,70306374,30.669913
"Victor Garber",15,6.5,136458706,30.515175
"Steve Rankin",5,5.8,167135367,30.475297
"Emily Mortimer",21,6.5,131721132,30.445257
"Michael Bay",5,6.4,11122105,30.131498
"Matt Doran",4,6.3,94022650,29.498304
"Pilar López de Ayala",2,5.7,-36298836,29.490057
"Michael Nouri",4,6.7,64574188,29.342744
"William Hootkins",7,5.9,129352633,29.244768
"Lisa Boyle",4,6.3,0,28.98027
"Ian McShane",15,6.3,-80445998,28.840997
"Carel Struycken",2,6.8,-5452319,28.725621
"Torben Meyer",3,6.3,76086475,28.703007
"Kirsten Dunst",27,7.5,20500000,28.60542
"John Finn",4,7.9,154116327,28.500913
"Claude Duhamel",2,6.1,128997819,28.468
"Vladimir Kulich",4,6.5,-12354673,28.353517
"Giuseppe Andrews",3,7.4,30282296,28.350529
"Stellan Skarsgård",24,7.2,91910061,28.223163
"David Aston",3,5.6,95213455,28.200874
"Clive Russell",4,6,31416464,28.019226
"Hanns Zischler",4,5.9,22120318,27.934978
"David St. James",4,7,147300000,27.714043
"Devon Aoki",5,6,-16938018,27.615108
"Mick Jagger",2,6.2,69185582,27.555646
"Alan Arkin",24,6.5,135388341,27.299301
"Dan Aykroyd",28,6,122427960,27.230493
"Dick Anthony Williams",3,6.4,-98301101,27.220157
"Amrish Puri",2,6.6,171438673,27.17347
"Brian Doyle-Murray",15,6.8,51049560,27.166757
"Norman Lloyd",3,5.3,-2e+06,27.082182
"Cole S. McKay",2,6.4,15632458,27.055085
"Kim Greist",2,7.9,7.1e+07,26.967494
"Edward Furlong",6,7.5,165405498,26.82041
"Victor Steinbach",2,5.3,7715436,26.792794
"Ray Park",6,6,150212113,26.516624
"Adrien Dorval",4,6.2,3742978,26.406001
"John Tyrrell",2,6.5,68929150,26.38704
"Kenneth Colley",3,7.2,3.5e+07,26.356697
"Michael Shamus Wiles",8,6.2,108320568,26.065735
"Finlay Currie",3,6.6,5871113,25.999888
"Til Schweiger",9,6,146404396,25.877794
"F. Murray Abraham",12,6.9,110330182,25.785925
"Dina Meyer",10,6.2,205756637,25.752118
"Julie Kavner",4,7,1.04e+08,25.6713
